relevant_bits_mask,shift,offset,magic_value
282578800148862,52,0,288248389246723072
565157600297596,53,4096,288252375515332612
1130315200595066,53,6144,2311472921201082368
2260630401190006,53,8192,2319353825276731393
4521260802379886,53,10240,288235332697079808
9042521604759646,53,12288,288234775917973504
18085043209519166,53,14336,27022156126750720
36170086419038334,52,16384,10954452010585358336
282578800180736,53,20480,1301549161421864960
565157600328704,54,22528,9225641450442588162
1130315200625152,54,23552,4785143877484544
2260630401218048,54,24576,19140333319503874
4521260802403840,54,25600,1176565505798971393
9042521604775424,54,26624,433471481851936768
18085043209518592,54,27648,11543288812100782080
36170086419037696,53,28672,36048041844678656
282578808340736,53,30720,9259420626302959616
565157608292864,54,32768,9799840486813925400
1130315208328192,54,33792,34429014400
2260630408398848,54,34816,15132096948095420440
4521260808540160,54,35840,27303218837454849
9042521608822784,54,36864,279745003520
18085043209388032,54,37888,9008573712574464
36170086418907136,53,38912,9367803901530739200
282580897300736,53,40960,6917529201591451648
565159647117824,54,43008,612490657428275200
1130317180306432,54,44032,58547624086605824
2260632246683648,54,45056,3458766867496206336
4521262379438080,54,46080,2882308176747704320
9042522644946944,54,47104,63050411965678096
18085043175964672,54,48128,9268409134789820416
36170086385483776,53,49152,1125902070087689
283115671060736,53,51200,72057870031520292
565681586307584,54,53248,216172919556931584
1130822006735872,54,54272,8813273939976
2261102847592448,54,55296,288230410519871488
4521664529305600,54,56320,1156303619562176512
9042787892731904,54,57344,9227875653682989056
18085034619584512,54,58368,74309411065167872
36170077829103616,53,59392,691758826496
420017753620736,53,61440,1171094374625443844
699298018886144,54,63488,576461855036342272
1260057572672512,54,64512,4629774221671989248
2381576680245248,54,65536,2323857730147844098
4624614895390720,54,66560,1157425173087977728
9110691325681664,54,67584,1407385086246912
18082844186263552,54,68608,40532465387569152
36167887395782656,53,69632,1299288493570228224
35466950888980736,53,71680,9223377019019067552
34905104758997504,54,73728,216177738512385024
34344362452452352,54,74752,18018833616868352
33222877839362048,54,75776,45038332907914240
30979908613181440,54,76800,72057907706856448
26493970160820224,54,77824,69260806144
17522093256097792,54,78848,25787107360
35607136465616896,53,79872,9244764139379769472
9079539427579068672,52,81920,576463295201157190
8935706818303361536,53,86016,9295430051800580356
8792156787827803136,53,88064,137716048132
8505056726876686336,53,90112,288806521326797844
7930856604974452736,53,92160,34897281028
6782456361169985536,53,94208,22518033234788868
4485655873561051136,53,96256,5210664773263295106
9115426935197958144,52,98304,109212292180615681
